RightAsc;Decl;  Mag B  ;  Mag V  ;  Mag R  
242.9988987;-19.46070448;4.05;4;3.9
326.7601843;-16.12728709;3.12;2.83;2.59
112.0408095;8.92552448;5.73;4.3;3.19
241.7017708;-20.66918885;3.92;3.97;3.91
257.59432;-15.7251822;3.36;3.26;10
167.91667;-60.30972;4.23;3.9;10
68.49907161;-55.04497896;3.18;3.28;3.29
69.07975799;-3.352460485;3.737;3.928;10
316.2327497;43.92785335;5.39;3.73;2.55
241.6480999;-36.80227053;4.027;4.201;10
62.16538987;47.71251056;4;4.03;3.91
335.8900971;52.22904672;5.46;4.44;3.67
63.88357029;8.892358769;4.205;4.279;10
322.1808363;-21.80717976;5.4;4.5;3.83
351.3449286;23.40410081;5.01;4.4;3.86
95.74011193;22.51358275;4.51;2.87;1.3
347.3616502;-21.17241521;4.87;3.64;2.8
130.1565467;-46.64874011;4.52;3.81;3.16
9.22021384;33.71934342;4.2;4.36;4.4
243.5864126;-3.694325785;4.34;2.75;1.46
14.30166783;23.41765002;5.36;4.42;3.69
37.03982108;8.460060225;4.25;4.3;4.29
109.6770208;-24.95436132;4.25;4.4;4.44
89.10122288;-14.16769954;4.05;3.72;3.39
270.1613158;2.931564834;3.96;3.93;3.84
10.12684601;56.53732922;3.4;2.23;1.45
6.43779316;-77.25424612;3.41;2.79;2.28
236.6108926;7.353068716;5.03;4.42;3.92
261.3249492;-55.52988169;4.31;2.85;10
125.6284741;-59.5094807;3.86;2.01;10
349.4758905;-9.182518757;4.26;4.4;4.47
98.7641148;-22.96479542;4.49;4.5;10
230.6702844;-44.68961518;3.191;3.366;10
222.9095954;-43.57536015;4.164;4.313;10
228.0712313;-52.0992487;4.33;3.41;10
41.04994423;49.22844852;4.62;4.11;3.67
217.9574555;30.37143657;4.89;3.59;2.67
135.9063651;47.15652473;3.55;3.55;10
242.998891;-19.4606906;4.359;4.349;10
44.56531816;-40.30467764;3.33;3.18;10
270.4383229;1.305085077;4.453;4.429;10
340.365503;10.83136331;3.33;3.41;3.43
60.22419835;-62.15928285;6.12;4.5;2.84
305.557091;40.25667916;2.9;2.23;1.74
112.307636;-43.30143539;4.77;3.25;2.04
73.51254745;66.34267601;4.34;4.29;4.18
188.3705972;69.78823886;3.75;3.89;3.84
69.17263542;41.26483482;5.5;4.26;3.31
337.4393048;-43.74921888;5.68;4.11;2.38
144.837547;-61.32804977;4.432;4.498;10
129.4140311;5.703787762;4.144;4.131;10
246.0257406;-20.03732005;5.53;4.5;3.72
66.37243633;17.92790651;4.369;4.298;6.18
74.63709287;1.714013537;5.853;4.459;10
129.6893227;3.341435188;5.63;4.43;3.54
122.3831256;-47.33658633;1.58;1.83;1.85
87.29348991;39.18107232;5.45;4.5;3.8
211.5929083;-26.68236158;4.41;3.28;2.4
343.6625261;-15.82081957;3.33;3.28;3.21
271.8856296;28.76249107;3.802;3.827;10
237.7397723;-33.62714676;3.909;3.946;10
178.2271729;-33.90812978;4.18;4.28;4.27
229.2517243;-9.38291441;2.51;2.62;2.67
111.7876739;8.289315763;2.8;2.89;2.9
209.5677757;-42.10075692;3.608;3.802;10
243.8594616;-63.6856815;4.943;3.839;10
281.4141231;-26.99078265;3.05;3.14;10
269.6256234;30.18927435;4.8;4.41;4.01
177.2649098;14.57205806;2.22;2.13;2.08
111.4316485;27.79807971;4.83;3.79;3.02
82.06134537;-20.75944389;3.66;2.84;2.19
156.9697074;-58.73940618;4.111;3.81;10
64.47359334;-33.79834789;3.44;3.56;3.57
260.2515605;-21.11293639;4.752;4.387;10
144.2064132;-49.3550255;4.52;4.35;4.2
351.5116078;-20.64201799;5.86;4.39;3.27
41.27582834;-18.57262283;4.94;4.46;4.03
103.1972453;33.96125676;3.7;3.6;3.5
154.9931436;19.84148867;3.13;1.98;1.13
83.40631655;-62.48982679;4.58;3.76;3.55
275.2485121;-29.82810226;4.069;2.668;10
187.7914984;-57.11321346;3.23;1.64;-0.02
17.14746389;-10.18226443;4.61;3.45;2.61
337.2079452;-0.01994285;4.06;3.65;10
253.5019647;10.16536138;4.3;4.38;10
79.89384295;-13.1767694;4.04;4.29;4.41
278.8017798;-8.244070511;5.17;3.83;2.86
265.868133;4.567303668;3.93;2.75;1.96
348.9728919;-9.087734712;5.36;4.25;3.46
210.4116398;1.544530608;4.331;4.237;10
289.0920557;38.13374205;5.64;4.38;3.51
93.71935536;22.50678733;4.89;3.28;1.79
115.9519567;-28.95482621;4.09;3.93;3.68
245.48006;19.15312828;4.03;3.76;3.47
248.3628438;-78.89714817;4.783;3.854;10
292.1763747;24.66490585;5.95;4.45;3.24
284.4325008;-21.10665759;4.69;3.51;2.71
321.6667944;-22.41132035;4.75;3.74;3.09
105.4297835;-27.93483034;5.2;3.47;2.15
284.7359273;32.68955574;3.2;3.25;3.27
283.6261779;36.89861991;5.97;4.3;2.52
155.2283155;-56.04323771;4.38;4.51;6.02
345.9435728;28.08278712;4.09;2.42;0.92
290.9715642;-40.6159372;3.841;3.943;10
116.3137339;-37.96858526;5.34;3.61;2.26
342.1387419;-51.31686481;3.556;3.466;10
15.73586826;7.890133181;5.24;4.28;3.5
280.7589014;-71.42811561;5.138;4.003;10
110.0307274;21.98230405;3.87;3.53;3.17
47.9073607;19.72667311;5.4;4.37;3.6
220.287116;13.72841686;4.59;4.51;10
187.0099255;-50.23063797;3.72;3.91;4.02
236.0669755;6.42563022;3.8;2.63;1.82
57.38032312;65.5259794;6.36;4.48;2.77
3.660070473;-18.93286335;6.12;4.46;3.06
97.24077556;20.2121349;4;4.14;4.17
134.8018881;48.04182286;3.36;3.13;10
244.5803759;-4.692513153;4.21;3.23;2.54
146.3117154;-62.50790286;5.09;3.75;10
308.3032203;11.30326639;3.9;4.03;4.05
139.1069393;-67.47656533;15.96;3.27;12.31
120.8960314;-40.0031478;1.98;2.25;2.36
347.5897011;-45.24670947;4.877;3.877;10
221.9654629;-79.04475355;5.247;3.798;10
40.16681187;-39.85537653;5.114;4.116;10
68.88765817;-30.56234204;4.8;3.82;3.07
95.07830017;-30.06336673;2.82;2.99;10
66.57692968;22.8135804;4.572;4.282;10
98.74408325;-52.97560928;4.37;4.4;10
236.5468966;15.4218193;3.73;3.67;3.61
146.4628067;23.77425378;3.79;2.98;2.36
264.3297077;-42.99782799;2.29;1.85;10
139.7110149;36.80259586;3.96;3.92;10
156.098773;-74.03161108;4.36;4.01;3.67
303.3494419;56.56772314;4.384;4.271;10
47.04221856;40.95564667;2.07;2.12;2.08
186.651842;-63.099522;1.41;1.58;10
33.25000133;8.846702351;5.23;4.35;3.68
